KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
"CS","INTERVAL",7700,"432005432005000","<2 005; 2 005>","2 005","01.01.1900","09.09.9999",,,2005,2005,
"CS","INTERVAL",7700,"432005432009000","<2 005; 2 009>","2 005 až 2 009 (více nebo rovno 2 005 a méně nebo rovno 2 009)","01.01.1900","09.09.9999",,,2005,2009,
"CS","INTERVAL",7700,"432005632010000","<2 005; 2 010)","2 005 až 2 010 (více nebo rovno 2 005 a méně než 2 010)","01.01.1900","09.09.9999",,2010,,2005,
"CS","INTERVAL",7700,"432006432006000","<2 006; 2 006>","2 006","01.01.1900","09.09.9999",,,2006,2006,
"CS","INTERVAL",7700,"432007432007000","<2 007; 2 007>","2 007","01.01.1900","09.09.9999",,,2007,2007,
"CS","INTERVAL",7700,"432007432013000","<2 007; 2 013>","2 007 až 2 013 (více nebo rovno 2 007 a méně nebo rovno 2 013)","01.01.1900","09.09.9999",,,2007,2013,
"CS","INTERVAL",7700,"432007799999000","<2 007; N)","Od 2 007 (více nebo rovno 2 007)","01.01.1900","09.09.9999",,99999999999999999999,2007,,
"CS","INTERVAL",7700,"432008432008000","<2 008; 2 008>","2 008","01.01.1900","09.09.9999",,,2008,2008,
"CS","INTERVAL",7700,"432009432009000","<2 009; 2 009>","2 009","01.01.1900","09.09.9999",,,2009,2009,
"CS","INTERVAL",7700,"432010432010000","<2 010; 2 010>","2 010","01.01.1900","09.09.9999",,,2010,2010,
"CS","INTERVAL",7700,"432010432011000","<2 010; 2 011>","2 010 až 2 011 (více nebo rovno 2 010 a méně nebo rovno 2 011)","01.01.1900","09.09.9999",,,2010,2011,
"CS","INTERVAL",7700,"432010432019000","<2 010; 2 019>","2 010 až 2 019 (více nebo rovno 2 010 a méně nebo rovno 2 019)","01.01.1900","09.09.9999",,,2010,2019,
"CS","INTERVAL",7700,"432010632015000","<2 010; 2 015)","2 010 až 2 015 (více nebo rovno 2 010 a méně než 2015)","01.01.1900","09.09.9999",,2015,2010,,
"CS","INTERVAL",7700,"432011432011000","<2 011; 2 011>","2 011","01.01.1900","09.09.9999",,,2011,2011,
"CS","INTERVAL",7700,"432011632016000","<2 011; 2 016)","2 011 až 2 016 (více nebo rovno 2 011 a méně než 2 016)","01.01.1900","09.09.9999",,2016,2011,,
